Date,Home,Away,Game Number,Ballpark
2026-03-26,Nashville Foxes,Washington Aces 2,1,Nashville Park
2026-03-27,Nashville Foxes,Washington Aces 2,2,Nashville Park
2026-03-28,Nashville Foxes,Washington Aces 2,3,Nashville Park
2026-03-26,St. Louis Owls,San Francisco Owls 2,1,St. Louis Park
2026-03-27,St. Louis Owls,San Francisco Owls 2,2,St. Louis Park
2026-03-28,St. Louis Owls,San Francisco Owls 2,3,St. Louis Park
2026-03-26,Portland Captains,New York Hawks 2,1,Portland Park
2026-03-27,Portland Captains,New York Hawks 2,2,Portland Park
2026-03-28,Portland Captains,New York Hawks 2,3,Portland Park
2026-03-26,Baltimore Pilots,Detroit Bears 2,1,Baltimore Park
2026-03-27,Baltimore Pilots,Detroit Bears 2,2,Baltimore Park
2026-03-28,Baltimore Pilots,Detroit Bears 2,3,Baltimore Park
2026-03-26,Austin Stars,Cleveland Sharks 2,1,Austin Park
2026-03-27,Austin Stars,Cleveland Sharks 2,2,Austin Park
2026-03-28,Austin Stars,Cleveland Sharks 2,3,Austin Park
2026-03-26,Toronto Lions,Tampa Pilots 2,1,Toronto Park
2026-03-27,Toronto Lions,Tampa Pilots 2,2,Toronto Park
2026-03-28,Toronto Lions,Tampa Pilots 2,3,Toronto Park
2026-03-26,Pittsburgh Bears,San Diego Falcons 2,1,Pittsburgh Park
2026-03-27,Pittsburgh Bears,San Diego Falcons 2,2,Pittsburgh Park
2026-03-28,Pittsburgh Bears,San Diego Falcons 2,3,Pittsburgh Park
2026-03-26,Charlotte Storm,Atlanta Captains 2,1,Charlotte Park
2026-03-27,Charlotte Storm,Atlanta Captains 2,2,Charlotte Park
2026-03-28,Charlotte Storm,Atlanta Captains 2,3,Charlotte Park
2026-03-26,Denver Comets,Philadelphia Knights 2,1,Denver Park
2026-03-27,Denver Comets,Philadelphia Knights 2,2,Denver Park
2026-03-28,Denver Comets,Philadelphia Knights 2,3,Denver Park
2026-03-26,Houston Knights,Seattle Storm 2,1,Houston Park
2026-03-27,Houston Knights,Seattle Storm 2,2,Houston Park
2026-03-28,Houston Knights,Seattle Storm 2,3,Houston Park
2026-03-26,Indianapolis Anchors,Boston Falcons,1,Indianapolis Park
2026-03-27,Indianapolis Anchors,Boston Falcons,2,Indianapolis Park
2026-03-28,Indianapolis Anchors,Boston Falcons,3,Indianapolis Park
2026-03-26,Milwaukee Giants,Minneapolis Guardians,1,Milwaukee Park
2026-03-27,Milwaukee Giants,Minneapolis Guardians,2,Milwaukee Park
2026-03-28,Milwaukee Giants,Minneapolis Guardians,3,Milwaukee Park
2026-03-26,Chicago Dragons,Dallas Rockets,1,Chicago Park
2026-03-27,Chicago Dragons,Dallas Rockets,2,Chicago Park
